Structure,Mixed glass,Glass wool,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Glass wool,Broth,Broth,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Broth,Broth,Mixed glass,Glass wool,Broth,Broth,Glass wool,Mixed glass,Glass wool,Mixed glass,Glass wool,Mixed glass,Mixed glass,Broth,Broth,Glass wool,Mixed glass,Broth,Broth,Broth,Broth,Glass wool,Glass wool,Glass wool,Broth,Mixed glass,Glass wool,Mixed glass,Mixed glass,Glass wool,Mixed glass,Mixed glass,Mixed glass,Broth,Broth,Broth,Mixed glass,Broth,Glass wool,Broth,Glass wool,Glass wool,Mixed glass,Glass wool,Broth,Mixed glass
Substrate,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Cellobiose,Glucose,Glucose,Glucose,Glucose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Glucose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Glucose,Cellobiose,Cellobiose,Glucose,Cellobiose,Glucose,Cellobiose,Cellobiose,Cellobiose,Cellobiose,Cellobiose
Day,2,5,2,2,5,5,1,2,1,2,2,5,5,1,1,5,2,1,5,2,5,2,5,1,5,5,1,1,1,1,5,1,1,5,5,5,5,1,2,5,5,1,5,1,5,2,5,2,2,5,1,5,1,5,1,1,5,2,1,5,2,2,1,1
Sample,MG12,GC1,GG9,MC12,GG4,MC4,GG5,MG9,GG6,GG10,BG12,BG1,MC3,MG5,MG8,BG3,BG9,GC7,BC11,BC9,MC1,GC9,BC3,BC8,GG12,MG4,GC5,MC7,GC8,MG6,MG2,BG8,BG5,GC2,MG1,BG2,BC4,BG7,BG10,GG1,GG3,GG8,BC1,MG7,GC4,MC9,MC2,GC10,MG10,MG3,MC6,BC2,BG6,BG4,MC5,BC6,GG2,BC12,GG7,GC3,MC10,GC11,BC7,MC8
OTU_657,0,0,0,40.54054054,0,40.4040404,0,0,0,0,0,22.72727273,19.60784314,22.22222222,18.86792453,16.12903226,0,15.87301587,0,116.2790698,0,0,52.63157895,0,0,0,30.3030303,80.35714286,40.81632653,0,0,0,68.96551724,84.74576271,0,0,21.27659574,0,0,0,0,0,16.12903226,29.41176471,0,53.33333333,28.16901408,14.28571429,0,0,5.952380952,0,0,37.03703704,24.15458937,25.64102564,18.86792453,0,0,0,106.6666667,0,0,0
OTU_544,0,0,0,27.02702703,0,0,0,14.08450704,0,0,0,0,19.60784314,0,0,0,0,15.87301587,0,0,70.1754386,0,52.63157895,22.22222222,0,0,0,62.5,40.81632653,0,0,0,34.48275862,0,0,0,42.55319149,0,0,0,17.24137931,0,0,0,0,40,0,0,0,19.60784314,0,0,0,0,0,25.64102564,37.73584906,0,29.41176471,23.80952381,13.33333333,0,0,0
OTU_528,666.6666667,194.8051948,1058.823529,9324.324324,137.9310345,5444.444444,222.2222222,1211.267606,1981.481481,1547.619048,446.4285714,1204.545455,921.5686275,7022.222222,1169.811321,741.9354839,600,619.047619,956.5217391,1209.302326,2122.807018,918.9189189,473.6842105,1266.666667,204.5454545,285.7142857,333.3333333,6000,551.0204082,172.4137931,437.5,1312.5,2344.827586,406.779661,483.5164835,333.3333333,1978.723404,551.7241379,392.8571429,389.9371069,672.4137931,1064.935065,1177.419355,3941.176471,225.8064516,5986.666667,1338.028169,600,285.7142857,509.8039216,1000,296.2962963,916.6666667,2870.37037,1603.864734,1282.051282,886.7924528,947.3684211,1058.823529,309.5238095,8626.666667,1000,1558.823529,3142.857143
OTU_554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.25352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_691,0,0,0,67.56756757,0,20.2020202,0,14.08450704,0,0,0,0,19.60784314,88.88888889,0,0,0,0,173.9130435,46.51162791,0,0,52.63157895,0,0,0,0,35.71428571,0,0,0,0,68.96551724,0,0,41.66666667,42.55319149,0,0,0,68.96551724,0,0,88.23529412,0,13.33333333,14.08450704,0,0,19.60784314,11.9047619,0,0,0,0,0,0,26.31578947,29.41176471,0,13.33333333,0,58.82352941,10.20408163
OTU_504,0,25.97402597,29.41176471,94.59459459,0,111.1111111,0,28.16901408,0,0,0,0,0,155.5555556,37.73584906,0,0,0,652.173913,0,17.54385965,0,0,0,0,0,0,35.71428571,0,172.4137931,0,0,0,0,0,0,0,0,0,18.86792453,0,0,16.12903226,117.6470588,0,80,14.08450704,0,57.14285714,39.21568627,11.9047619,0,0,0,33.81642512,0,0,0,58.82352941,23.80952381,40,27.77777778,0,40.81632653
OTU_760,52.63157895,77.92207792,58.82352941,418.9189189,0,282.8282828,148.1481481,126.7605634,0,47.61904762,17.85714286,45.45454545,98.03921569,333.3333333,75.47169811,0,100,47.61904762,260.8695652,186.0465116,210.5263158,0,0,44.44444444,0,114.2857143,30.3030303,160.7142857,0,103.4482759,125,0,206.8965517,118.6440678,98.9010989,20.83333333,21.27659574,0,71.42857143,12.57861635,120.6896552,0,64.51612903,117.6470588,64.51612903,360,126.7605634,57.14285714,0,98.03921569,71.42857143,55.55555556,62.5,55.55555556,106.2801932,0,18.86792453,131.5789474,117.6470588,23.80952381,146.6666667,111.1111111,29.41176471,142.8571429
OTU_600,0,0,0,13.51351351,0,0,0,0,0,0,0,0,0,22.22222222,18.86792453,0,0,0,43.47826087,0,0,0,0,0,0,0,0,17.85714286,0,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,29.41176471,0,40,0,0,0,0,0,0,0,0,9.661835749,0,18.86792453,0,0,0,53.33333333,27.77777778,0,0
OTU_658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
